Indicatif;Latitude_Dec;Longitude_Dec;Latitude_DMS;Longitude_DMS;Azimut_Deg;Couleur;Date_Heure
ALPHA/1;48.313333;3.285833;48°18'48.00"N;03°17'09.00"E;4.0;#ff6b35;2026-05-04 10:06:51
ALPHA/2;48.426944;3.402222;48°25'37.00"N;03°24'08.00"E;276.0;#ff6b35;2026-05-04 10:12:09
ALPHA/3;48.403611;3.273889;48°24'13.00"N;03°16'26.00"E;26.0;#ff6b35;2026-05-04 10:13:50
ALPHA/4;48.431667;3.311111;48°25'54.00"N;03°18'40.00"E;250.0;#ff6b35;2026-05-04 10:16:28
ALPHA/5;48.430278;3.285556;48°25'49.00"N;03°17'08.00"E;100.0;#ff6b35;2026-05-04 10:18:59
ALPHA/6;48.429444;3.290278;48°25'46.00"N;03°17'25.00"E;110.0;#ff6b35;2026-05-04 10:22:32
ALPHA/7;48.429167;3.291667;48°25'45.00"N;03°17'30.00"E;110.0;#ff6b35;2026-05-04 10:25:24
BALISE ELT/1;48.429167;3.291944;48°25'45.00"N;03°17'31.00"E;0.0;#3f51b5;2026-05-04 10:28:34
BRAVO/1;48.419167;3.293056;48°25'09.00"N;03°17'35.00"E;359.0;#3f51b5;2026-05-04 13:04:20
BRAVO/2;48.443611;3.406111;48°26'37.00"N;03°24'22.00"E;259.0;#3f51b5;2026-05-04 11:38:39
BRAVO/3;48.448611;3.253333;48°26'55.00"N;03°15'12.00"E;127.0;#3f51b5;2026-05-04 11:39:39
BRAVO/4;48.433333;3.290000;48°25'60.00"N;03°17'24.00"E;155.0;#3f51b5;2026-05-04 11:43:21
CHARLIE/2;48.313333;3.285833;48°18'48.00"N;03°17'09.00"E;0.0;#4caf50;2026-05-04 12:15:54
CHARLIE/3;48.441667;3.394167;48°26'30.00"N;03°23'39.00"E;266.0;#4caf50;2026-05-04 13:02:02
CHARLIE/4;48.404722;3.284722;48°24'17.00"N;03°17'05.00"E;10.0;#4caf50;2026-05-04 13:03:31
CHARLIE/5;48.438611;3.281667;48°26'19.00"N;03°16'54.00"E;142.0;#4caf50;2026-05-04 13:05:24
CHARLIE/6;48.426944;3.297778;48°25'37.00"N;03°17'52.00"E;307.0;#4caf50;2026-05-04 13:05:54
